"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지 주소","모집시작일","모집종료일"
"1,180","삼양홀딩스","산학장학생","민간(기업)","장학금","성적우수","4년제(5~6년제포함)","대학4학기/대학5학기/대학6학기","공학계열/의약계열/자연계열","직전학기까지 평균 평점 3.5 이상인 자(4.5만점) * 공인 영어말하기 성적 보유자 (OPlc 또는 TOEIC SPEAKING에 한함)TOEIC SPEAKING 110점 또는 OPlc IL 이상","해당없음","잔여학기 등록금월 500000원 (자기개발비)","약학대학 3학기 이상 수료자해외여행에 결격사유가 없는 분군필자 또는 면제자지방근무 가능하신 분","해당없음","서류전형> 인(적)성 검사> 직무적성면접> 인성면접> 최종합격/입사","해당없음"," * 자세한 사항은 기관으로 문의 바랍니다.","해당없음"," * 삼양홀딩스 홈페이지에서 입사 지원서 접수 (http://www.samyang.com/Recruit)","http://www.samyang.com/Recruit","2023-04-14","2023-04-27"
"1,181","목포해양대학교여교수협의회","장학생","민간(기타)","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1000000원","목포해양대학교 재학중인 여학생(학년제한 없음)","해당없음","해당없음","3~5명","해당없음","해당없음","자기소개서성장과정 학교생활 진로계획 등을 포함하여 A4 2페이지 분량추천서(별첨 참조)장학생 신청서성적증명서※ 자세한 사항은 기관 홈페이지 참조","해당없음","2023-11-06","2023-11-10"
"1,182","(재)서편탐장학선교재단","일반장학금","민간(기타)","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1000000원","국내 대학 재학생으로서 학업성적이 우수하거나 또는 재정 사정이 어려운 학생학년 전공 제한은 없음※ 단 미 자립교회 목회자 및 군선교자(민간 목사) 자녀 우대","해당없음","해당없음","해당없음","타 장학재단 기업 장학금 등 수혜자※ 타 장학금(교내외)수령 학생도 지원 가능하나 장학생으로 선발 된 이후에는 교내 장학금을 제외한 타 장학재단 기업장학금 등을 중복수령할 수 없음","해당없음","장학생 지원 신청서 (온라인 지원)성적증명서재학증명서부모 및 학비 부담자의 과세증명서(소득세 재산세) 또는 비과세 증명원부모님 소득금액 증명원가족관계 증명원(서류는 부모님 각각 제출)※우편접수: 인천시 남동구 구월로 336번길 9 서광빌딩 5층 (재)서편탐장학선교재단","http://www.serpentem.org","2023-11-15","2023-12-31"
"1,183","재단법인 광남새마을금고 장학회","우등장학생","민간(기업)","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기(1학기) 평점이 3.7학점 이상인 자","해당없음","2000000원","해당없음","장학금 선발 공고일 현재 2년이상 광명시 관내에 주소를 두고 거주하는 시민 및 그 자녀로서 대학(교)에 재학 중인 학생","해당없음","20명","휴학생 지원 불가","학장(총장)추천","* 개별접수(광남새마을금고 내부통제팀)장학생 신청서학교장 추천서성적증명서(직전학기 1학기)주민등록초본(주소변동사항 포함)동장 추천서장학금 수혜(비수혜) 확인서개인 정보공개 동의서개인(신용)정보 수집.이용.제공 및 조회 동의서본인 또는 보호자 통장사본  * 자세한 사항은 첨부파일 참고","http://www.kwangnam.co.kr/","2023-11-10","2023-11-30"
"1,184","재단법인 광남새마을금고 장학회","복지장학생","민간(기업)","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기(1학기) 평점이 2.8학점 이상인 자","저소득층(기초생활수급자 차상위계층 기타 생계곤란자)","1500000원","대학 재학생으로 저소득층인 학생","장학금 선발 공고일 현재 2년이상 광명시 관내에 주소를 두고 거주하는 시민 및 그 자녀로서 대학(교)에 재학 중인 학생","해당없음","10명","휴학생 지원 불가","해당 학장(총장) 및 동장 추천","* 각 동주민센터로 제출장학생 신천서학교장 추천서성적증명서(직전학기 1학기)주민등록원 초본(주소변동사항 포함)동장 추천서장학금 수혜(비수혜) 확인서개인 정보공개 동의서개인(신용)정보 수집.이용.제공 및 조회 동의서본인 또는 보호자 통장사본수급자 증명서 또는 차상위계층 증명서류 등(해당자)","http://www.kwangnam.co.kr/","2023-11-10","2023-11-30"
"1,185","제주4.3평화재단","제주4.3장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","2022-2학기 12학점 이상을 이수한 자(계절학기 제외)단 복학생은 휴학 직전학기 취득학점을 기준으로 함"," * 가정환경 심사 우대 순위저소득장애인가정 > 국민기초생활수급자 > 장애인(중증)가정 > 조손가정 > 한부모가정 > 다자녀가정(3자녀 이상)","2000000원","4.3희생자 및 유족의 후손 중 고등학교 대학교 재학 중인 자국내 대학교 재학생으로 2022년 2학기 12학점 이상 이수한 자 (계절학기 제외)","해당없음","신청학생의 가정환경 장학금 지원신청서에 작성한 가치관 및 향후계획과 신청학생이 제출한 4.3관련 학습 및 프로그램 참여 실적을 심사하여 선발심사 기준: 가정환경(85점) + 품행(15점) * 자세한 사항은 첨부파일 참고","13명","2023년도 1학기 휴학자징계를 받은 자 또는 징계의결 계류중인 자허위서류 제출자","해당없음","제주 4.3평화재단 홈페이지에서 다운받아 활용","http://www.jeju43peace.or.kr/","2023-04-28","2023-05-15"
"1,186","여수농협장학회","장학금","민간(기업)","장학금","기타","4년제(5~6년제포함)/기술대학/원격대학/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전 학기말 성적 평점이 3.0 미만인 자","가정형편이 어려운 자","1인당 100만원 이내에서 지원 (등록금)","여수농협 조합원의 (손)자녀로 국내 소재 대학생전년도말 조합원 이용고 배당 점수 80점 이상 충족 * 자세한 사항은 홈페이지 공지 참조","해당없음","(재)여수농협장학회 선발기준에 의함","20명 이내","다른 장학재단 기관 단체 학교 등으로부터 등록금 전액에 대한 장학금 수혜를 받거나 면제 받은 자휴학생 대학원생 해외 유학생농협 상근 임직원의 자녀 * 자세한 사항은 홈페이지 공지 참조","해당없음","장학생 지원 신청서2023년 1학기 성적증명서재학증명서2023년 2학기 등록금 납입 영수증조합원의 2022년도 재산세 세목별 과세증명서가족관계증명서조합원의 통장사본조합원 장학생의 개인신용정보의 제공/활용/조회 동의서 및 신분증 사본 * 자세한 사항은 홈페이지 공지 참조","http://www.yeosu.nonghyup.co.kr/","2023-08-28","2023-09-08"
"1,187","백운장학회(진안)","장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","성적이 우수한 학생","가정형편이 어려운 학생","1500000원","해당없음","전라북도 진안군 백운면에 본적이 있거나 또는 백운면에 주소를 3년 이상 두고 생활한 자 또는 그 자녀","해당없음","3명","대학교 재학 중 1회 이상 선정 불가가진안군 내 타 장학회에서 장학금을 받은 자","해당없음","장학생 지원서장학생 추천서재학증명서성적증명서 ( 신입생 : 출신 고등학교 3학년 성적증명서 / 재학생 : 재학중인 대학교 전년도 성적증명서 )주민등록등본 및 가족관계증명서가정환경 조사서지방세 과세증명서 * 자세한 사항은 첨부파일 참조","https://www.jinan.go.kr/","2023-08-08","2023-09-04"
"1,188","이영주한중인재양성장학재단","한중미래리더장학금(한국인)","민간(기타)","장학금","기타","4년제(5~6년제포함)/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","전년도 기준 전체 학년 백분위 성적 85점 이상인 학생 (입학예정자는 그 전 과정 1년 성정)중국어능력시험 HSK 5급 이상인 학생","해당없음","연 2000000 ( 학기당 1000000 )  * 1년 후 재심사","한국 국적자로 중국 대학교 또는 대학원 입학예정자 재학생","해당없음","1차 서면평가(온라인)2차 면접 심사 (서울)","10명 이내","2024년 2월 졸업예정자 제외장학금 지급 결격사유 발생 시 해당 사실 인지하면 장학금 반납* 자세한 사항은 첨부파일 참고","해당없음","지원신청서자기소개서성적증명서여권 주민등록증재학증명서교수추천서 (재단 이메일로 직접 제출)아버지(어머니) 자식 소개서(제출 시 가점 부가)개인정보이용동의서  * 입학생인 경우 고등학교 성적제출 * 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고","http://leeyjfoundation.com","2023-07-12","2023-08-11"
"1,189","하나금융나눔재단","하나장학생","민간(기업)","장학금","소득구분","4년제(5~6년제포함)/기술대학/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전 학기 취득학점 12학점 이상 ( 2.7/4.0 2.9/4.3  3.0/ 4.5 ) 이상 "," * 아래 해당사항이 있는 경우국민기초생활수급자차상위계층가구당 월 평균 건강보험료 130000원 이하(3인가구 기준)소득분위 0~4구간","대학생 1000000원 * 생활비성격","저소득층 자녀 중 선발대상 학교 학업 성적 소득 요건이 모두 충족되는 학생대학 산업대학 교육대학 전문대학 기술대학전공대학과학기술원법 등에 따른 대학기능대학 직업전문학교","해당없음","해당없음","10명 내외","사이버대학 학점은행제 재학생 제외2023년 2학기 현재 휴학생 제외 ","학교장 총장 또는 단과대학장의 추천","하나 장학생신청서 추천서(직인 날인)개인정보수집 이용 및 제공동의서성적증명서장학금 (미)수혜 확인서주민등록등본가족관계증명서소득관련 증빙 서류부모 또는 동거하는 부모가 장애인일 경우 장애인증명서* 학교 추천 방식으로 신청시 각 학교 장학부서에 문의 필수 ","http://www.hana-nanum.com","2023-09-20","2023-10-13"
"1,190","국민대학교교직원재직동문회","장학생","민간(기타)","장학금","기타","특정대학","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 취득학점 15학점(최종학기 직전학기는 9학점) 이상직전학기 취득학점 평점평균 2.0 이상 * 계절학기 제외","해당없음","2000000원 이내","현재 국민대학교 2~4학년 학부 재학생 중 애교심과 모범적 품성을 갖춘 학부생","해당없음","장학금 지원신청서 에세이 심사 및 내부 규정","3명 내외","수업연한초과자 제외등록금 100% 초과 장학금 수혜 불가","해당없음","장학금 지원 신청서 (소정양식 사진 부착)에세이 (A4용지 3쪽 이내 자유양식)","http://www.kookmin.ac.kr/","2022-10-24","2022-11-11"
"1,191","아름다운재단","대학생교육비지원사업","민간(기타)","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","연간 최대 500만원 교육비와 학업생활보조비 * 기본 1년 지원 심사를 거쳐 최대 1년 연장 가능 * 휴학(학적 변동) 시 지원 중단 * 자세한 사항은 첨부파일 및 홈페이지 공지 참조","아동복지시설 및 가덩위탁 보호 종료 또는 연장 장학생  * 2024년 상반기 복학 예정인 휴학생 지원 가능 * 잔여 학기가 2학기 이상 남은 경우애만 신청 가능 * 자세한 사항은 첨부파일 및 홈페이지 공지 참조","해당없음","해당없음","50명","2024년 신입생 지원불가방송통신대 및 사이버대학 신청 불가타 민간기관 지원사업과 중복지원 불가 * 자세한 사항은 첨부파일 및 홈페이지 공지 참조","해당없음"," * 홈페이지에서 지원양식 다운로드지원신청서지원신청서 요약표재학증명서수급자증명서(해당자)기타 활동증명서(해당자) * 자세한 사항은 첨부파일 및 홈페이지 공지 참조","http://www.beautifulfund.org","2023-10-12","2023-11-09"
"1,192","강원인재육성재단","미래인재","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","연 최고 5000000원 * 자세한 사항은 기관 홈페이지 참고","자연과학분야·인문사회분야 : 전국단위 이상 경시대회에서 상위 입상하거나 해당분야에서 학업성적이 탁월한 자문화예술분야 : 전국단위 이상 경연대회 또는 국제대회 3위 이상 입상한 자체육분야 : 전국단위 이상 대회 3위이상입상 또는 국가대표로 선발된 자 * 기타 탁월한 재능을 보유하여 미래인재로 육성이 필요하다고 인정되는 사람","공고일 현재 본인 또는 친권자가 강원도내 3년 이상 계속 주민등록을 한 자본인 또는 친권자의 기본증명서 등록기준지가 강원도이고 강원도내 총 5년 이상인 주민등록을 한 출향도민","자세한 사항은 기과 홈페이지 참고","0명"," * 자세한 사항은 기관으로 문의 바랍니다.","해당없음","지원서개인정보 수집 및 이용·제공 동의서자기소개서지역조건 증빙자료재학증명서고등 생활기록부 + 대학 전체 학기 성적증명서증빙자료 (공고일 기준 최근 3년 이내) * 자세한 사항은 기관 홈페이지 참고","http://injae.gwd.go.kr/injae","2024-03-01","2024-03-20"
"1,193","강원인재육성재단","주거비 지원","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 성적 평점이 백분위 성적 80점 이상인 자","한국장학재단 학자금 지원구간 5구간 이하인 자","1000000원","도내 고등학교를 졸업한 자로서 주민등록상 주소지 이외의 도내 대학 재학생본인 또는 보호자 명의로 소속 학교 인근에 월세 계약을 체결하고 거주 중인 자부동산 임대차 계약서 상 계약기간이 공고일 이전부터 2023년 12월 까지 연속되어 있는는 자","선발 공고일 현재 본인 또는 그 보호자가 강원도에 1년 이상 주민등록을 두고 있는 자","한국장학재단 학자금 지원구간 낮은 순 * 자세한 사항은 홈페이지 참조 ","156명","공고일 및 발표표일 현재 휴학중이거나 수료 상태인 졸업 예정자1가구 2인 이상 신청 불가보호자의 주민등록상 주소지에서 월세 계약한 자","해당없음","장학금 신청서개인정보 수집 및 이용 동의서고등학교 졸업증명서 또는 검정고시 합격 증명서부동산 임대차 계약서재학증명서전체 학년 성적증명서주민등록표등본가족관계증명서학자금지원구간 통지서기타 해당서류(가정위탁보호 확인서/장애인증명서/봉사실적증명서) * 자세한 사항은 홈페이지 참조","http://injae.gwd.go.kr/site/injae/index.asp","2023-10-04","2023-10-18"
"1,194","강원인재육성재단","생활비지원장학생","지자체","장학금","소득구분","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","학자금 지원구간 3구간 이하인 자","500000원","강원도 내 고교 졸업 후 도내 대학 재학생한국장학재단 학자금 지원구간 기준 구간 이하인 학생","강원도 내 고등학교를 졸업한 도내 대학 재학생선발 공고일 현재 본인 또는 보호자가 강원도에 1년 이상 주민등록을 두고 있는 자","학자금 지원구간별 점수에 가산점을 합산하여 고득점 순으로 선발","250명","공고일 및 발표일 현재 휴학 중이거나 수료 상태인 졸업 예정자1가구 2인 이상 신청 불가원격 대학 불가지자체 또는 타 장학재단의 유사 장학금 수혜자 ","해당없음","공통서류 및 우대사항 증명서류신청서 및 개인정보 제공 및 이용동의서재학증명서고등학교 졸업증명서 또는 검정고시 합격증명서주민등록표등본학자금지원구간통지서   * 자세한 내용은 홈페이지 참조 ","http://injae.gwd.go.kr","2023-11-02","2023-11-15"
"1,195","고흥군교육발전위원회","대학 신입생 성적우수 장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","고등학교 전체기간 내신 3등급 이내의 졸업생","해당없음","성적우수 1위 ~ 5위 : 5000000원성적우수 6위 ~ 20위 : 3000000원","고흥군 관내 고등학교(고흥고·녹동고)를 졸업한 대학 신입생으로 내신 및 수능 성적 우수자","고흥군 관내 고등학교(고흥고·녹동고) 졸업생","평가기준 : 내신성적(80) + 수능성적(20)","20명","평생교육법에 의한 사이버대학 사내대학 ","해당없음","신청서고등학교 졸업증명서대학교 재학증명서고등학교 성적표(3학년 1학기)수능 성적표학부모 통장 사본 * 자세한 사항은 선발 기관으로 문의 바랍니다.","https://goheung.go.kr","2024-03-04","2024-03-12"
"1,196","재단법인 평택시 장학재단","특기장학생","지자체","장학금","특기자","4년제(5~6년제포함)/기술대학/원격대학/전문대(2~3년제)/제한없음","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1000000원","2022년도 공신력있는기관(정부중앙부처 및 지자체 등) 주최한 대회에서 장려 또는 3위 이상 입상한 자(관련기관 및 협회 포함)","공고일 기준 평택시에 주민등록을 두고 1년 이상 거주하고 있는 시민 또는 시민의 자녀","수상실적 100% + 가산점(다자녀 자원봉사 장애인)","고등학생 인원 포함 15명","해당없음","해당없음","신청서재학증명서주민등록표 초본가족관계증명서기능 및 예체능 분야 수상 증명(확인)서2022년 자원봉사실적 확인서(해당자)장애인증명서(해당자) * 자세한 사항은 첨부파일 참조","http://www.ptsf.or.kr","2023-05-15","2023-05-26"
"1,197","(재) 창원시장학회","면학장학생","지자체","장학금","소득구분","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","전년도 학년 평균 학점이 2.5 이상인 자","기초생활수급자 차상위계층 소외계층 등 장학재단 소득분위표 4분위 이하인 자재단이 소외 계층 및 복지사각지대 학생으로 인정하는 자","2000000원","창원시 소재 고둥학교 출신자 중 국내대학 재학생타지역 고등학교 출신자 중 창원시 관내대학(6개) 재학생으로 창원시에 주소가 1년 이상 등록된 관내 대학 재학생","공고일 기준 본인과 부모님 중 한사람이 창원시에 주소가 등록된 자","성적 10 + 생활정도 75 + 타장학금 15%","85명"," * 면학장학생 신청자는 성적우수 장학생과 중복신청 불가타장학금 400만원 이상인 학생한 학기 이수학점 12학점 미만대학교 휴학생 대학원생 해외유학생 졸업유예생(5년제 학과 제외)2024학년도 대학 신입생","해당없음","장학금 지원 신청서재학증명서성적증명서 (기준은 첨부파일 참고)주민등록등본본인 명의의 통장사본타 장학금 수혜여부 확인서개인정보 동의서경제상황 증빙서류(첨부파일 참고)가족관계증명서 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고","http://www.jhjh.or.kr","2024-03-04","2024-03-22"
"1,198","부용장학재단","장학금","민간(기타)","장학금","기타","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","해당없음","무극중학교를 졸업한 자","무극중학교를 졸업한 자","해당없음","해당없음","해당없음","해당없음","2023학년도 성적증명서 1통주민등록등본 1통 (신규 장학생만 제출) * 대학교 입학생의 경우: 입학 확인서 또는 합격통지서 1부 및 고등학교 생활기록부 1부 제출","http://cafe.daum.net/buyongsf","2024-01-21","2024-02-07"
"1,199","성준장학재단","장학금","민간(기타)","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","속초 고교출신으로 성적우수자수능점수표수시합격자(내신성적표)","저소득층 가구최저생계비의 150% 이하 저소득 가구 (다문화가정 조손가정 장애인가정 다세대가정 한부모가정 등)","등록금 전액 지원 ※ 최대 4학기 지원","속초지역 고등학교 졸업생(2022년 졸업예정자) 중 부처님의 가르침을 배우고 실천하고자 하는 학생저소득층 가구성적우수자","속초 지역 거주자","해당없음","해당없음","현재 타기관에서 장학금을 지원받고 있는 경우국가장학금 100& 지원받는 경우 * 자세한 사항은 첨부파일 참조","해당없음","지원신청서개인정보 수집 및 제공동의서자기소개서가족관계증명서(주민등록등본)건강·장기요양보험료 납부확인서대학합격증성적증명서가정환경 증빙자료불자 확인증등록금 납입고지서 * 자세한 사항은 첨부파일 참조","http://www.shwelfare.com/","2022-02-07","2022-02-10"
"1,200","전남대학교약학대학연구장학재단","행복장학생","민간(기타)","장학금","기타","특정대학","대학5학기/대학6학기/대학7학기/대학8학기이상","의약계열","전 학년 평균평점이 2.25이상","해당없음","2000000원","전남대학교 약학대학 4~5학년 재학생 중 2학기 등록예정자나눔과 봉사정신이 투철하고 성실한 학생   가계 곤란자 및 향후 지역사회(광주 및 전남북)에서 봉사할 가능성이 높은 학생 우대  * 5학년 우선순위","해당없음","해당없음","1명","재학 기간 중 본 장학금을 수혜한 자","해당없음"," * 지원서 및 개인정보 수집·이용 및 제공·조회 동의서 통장사본 * 해당증빙서류 택1가계곤란 관련 증빙서류봉사활동 관련 증명 서류 또는 그 자료리더쉽 관련 증명 서류 또는 자료기타","http://pharmacy.jnu.ac.kr/","2023-06-05","2023-06-15"
"1,201","황해도장학회","장학생","민간(기타)","장학금","지역연고","4년제(5~6년제포함)/일반대학원","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1000000원","황해도 출신자 또는 자녀 중 대학(대학원)생으로 향토 사업에 참여하여 청년회 및 후계세대 활동 및 애향 활동을 하고 있는 자","황해도 출신자 또는 자녀","해당없음","총 20~23명: 황해도 시·군에서 1명씩 선발","해당없음","해당없음","장학금 지원 신청서 1부청년회 및 후계사회 활동 서약서 1부자기소개서장학금 지원 신청인의 공적사항 또는 활동계획서 1부제적등본 또는 가족관계증명서 1부(제적등본에 원적이 반드시 기재)※ 자세한 사항은 황해도중앙도민회 홈페이지 참조","http://www.ibuk5do.go.kr/5do/frt/main.do","2023-04-29","2023-05-30"
"1,202","모퉁이돌장학회","일반장학금","민간(기타)","장학금","기타","4년제(5~6년제포함)/일반대학원/전문대(2~3년제)/전문대학원","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","경제적 사정이 어려운 학생","납입금액 30~50% 지원","품성이 바르고 향학열과 재능이 우수하나 경제적 사정으로 인하여 수학이 곤란한 학생","해당없음","해당없음","O명","학점은행제 사이버교육기관 재학생 * 자세한 사항은 기관으로 문의","학교(과)장(지도교수) 담당 교역자 또는 기타 단체자의 추천서 제출","장학금 신청서자기소개서비전기술서추천서장학금 수령 통장사본등록금 관련 서류재학증명서성적증명서저소득 증빙자료 * 우편 또는 직접 제출 자세한 사항은 기관 홈페이지 참조","http://www.cornerstonescholars.co.kr/","2024-01-28","2024-02-11"
"1,203","모퉁이돌장학회","지역인재장학금","민간(기타)","장학금","지역연고","4년제(5~6년제포함)/일반대학원/전문대(2~3년제)/전문대학원","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음"," * 자세한 사항은 첨부파일 혹은 기관 문의","납입금액 30% ~ 50% 지원"," * 자세한 사항은 첨부파일 혹은 기관 문의","종로구에 소재한 대학(교)및 대학원 재학생 ","장학기금을 (재)모퉁이돌장학회「정관 및 장학금지급 규정 장학생 선발지침」에 의거 가정 형편이 어려운 학생을 수혜대상자로 우선 선발대학생은 자격별 성적순으로 선발하되 동점자는 가중치가 높은 학생을 우선 선발","O명","학점은행제 또는 사이버교육기관 재학생 * 자세한 사항은 기관으로 문의","학교(과)장(지도교수) 담당 교역자 또는 기타 단체장 추천서 제출","장학금신청서자기소개서비전기술서추천서장학금 수령 통장사본등록금 관련 서류재학증명서성적증명서저소득 증빙자료(해당자)종로구에 소재한 대학(교) 및 대학원 재학생/지방 출신자임을 증빙할 수 있는 서류 * 자세한 사항은 첨부파일 참고","http://www.cornerstonescholars.co.kr/","2024-01-28","2024-02-11"
"1,204","모퉁이돌장학회","특기장학금","민간(기타)","장학금","특기자","4년제(5~6년제포함)/일반대학원/전문대(2~3년제)/전문대학원/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","가정 형편이 어려운 학생을 수혜대상자로 우선 선발","납입금액 30~50% 지원","품성이 바르고 향학열과 재능이 우수하나 경제적 사정으로 인하여 수학이 곤란한 학생으로 직전 학기 전국대회에서 입상한 자","해당없음","장학기금을 (재)모퉁이돌장학회「정관 및 장학금지급 규정 장학생 선발지침」에 의거 가정 형편이 어려운 학생을 수혜대상자로 우선 선발대학생은 자격별 성적순으로 선발하되 동점자는 가중치가 높은 학생을 우선 선발","O명","학점은행제 또는 사이버교육기관 재학생 * 자세한 사항은 기관으로 문의","학교(과)장(지도교수) 담당 교역자 또는 기타 단체장 추천서 제출","장학금 신청서자기소개서비전기술서추천서장학금 수령 통장사본등록금 관련 서류재학증명서성적증명서저소득 증빙자료직전 학기 전국대회 입상 관련 서류 등록금 관련 서류 * 우편 또는 직접제출 자세한 사항은 기관 홈페이지 참조","http://www.cornerstonescholars.co.kr/","2024-01-28","2024-02-11"
