"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"878","재단법인김제사랑장학재단","꿈키움장학금","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","1000000원","김제 관내 고등학교 123학년 중 국제 및 전국 대회 수상자로 생활형편이 어려운 사람적성과 소질을 개발하면서 꿈을 실현하고자 재능을 키우고 있는 사람농업관련 고등학교에 재학하면서 농업의 꿈을 키우는 사람","장학생 선발 공고일 기준 김제시에 1년 이상 주소를 두고 거주하는 김제시민의 자녀","해당없음","해당없음","보호자가 김제지역 외로 거주지를 변경하였을 경우각종 사유로 학업을 중단할 경우학교장의 정지신청이 있을 때","해당없음","장학생 지원서개인정보제공동의 및 활용승낙서성적증명서주민등록초본가족관계증명서장학금 지급통장 사본기타 개별 필요 서류 * 자세한 사항은 홈페이지 참조","http://www.gimjelove.kr","2023-03-16","2023-03-24"
"879","사단법인 광주광역시 동구 인재육성장학회","대안학교 학생","지자체","장학금","지역연고","해당없음","1학년/2학년/3학년/제한없음","2022년 1학기 성적이 평균 6등급 이내인 자","해당없음","500000원","학교설립 교육감 인가를 받고 등급으로 환산된 성적증명서 발급이 가능한 자","공고일 현재 광주광역시 동구에 1년 이상 주소를 두고 있는 주민과 그 자녀","해당없음","1명","해당없음","해당없음","장학금 지원 신청서학교장 추천서재학증명서등록금 고지서주민등록 등본개인정보 수집·이용·제공 및 조회 동의서신청인 서약서직전학기 성적증명서 * 거주지 동 행정복지센터 방문접수 * 자세한 사항은 첨부파일 및 홈페이지 참고 * 자세한 사항은 첨부파일 참조","http://www.donggu.kr ","2023-08-01","2023-08-31"
"880","인슐레이션코리아드림재단","장학생","민간(기타)","장학금","기타","해당없음","해당없음","해당없음","해당없음","1000000원원","캐나다에 거주하고 있는 학생학업성적이 우수한 자 또는 저소득층 자녀","해당없음","해당없음","40명","수여식 행사 당일 참석하지 않으면 합격 취소 가능","해당없음","자기소개서추천서(대사관 대사 교수 교사 사회단체장 봉사기관단체장 등 또는 기타 추천자격자)성적증명서입학허가서 사본 * 자세한 사항 홈페이지 참조","http://www.ikdream.kr","2023-12-21","2024-02-05"
"881","재단법인 대구광역시인재육성장학재단","선행봉사 장학금","지자체","장학금","기타","해당없음","해당없음","해당없음","해당없음","1000000원 ","사회적 귀감이 되는 선행 및 봉사활동으로 언론에 보도된 고등학생","해당없음","해당없음","4명"," * 자세한 사항은 첨부파일 참조","학교장 추천 필요 ","학교장추천서사유서통장사본개인정보 수집/동의서 * 자세한 사항은 첨부파일 참조","http://www.dge.go.kr ","2023-09-18","2023-10-17"
"882","순천시인재육성장학회","청향(서정현)장학금","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","4000000원","선발 공고일 현재 순천시에 주민등록을 두고 5년 이상 계속 거주하고 있는 자로 사리사욕 없이 지역사회를 위해 10년 이상 헌신 봉사하고 있는 지역사회봉사자의 자녀 1명","공고일 현재 보호자 또는 학생 본인이 순천시에 주민등록을 두고 6월 이상 계속 거주하고 있는 고등학생","선발 심사는 서류심사를 원칙으로 함.장학생 선발에 있어 필요하다고 인정되는 경우 현지 확인 조사 가능장학생은 (재)순천시인재육성장학회 이사회에서 최종 심의의결 결정","2명 (초등~대학생 포함 인원)","1가구 1인 ※ 자세한 사항은 첨부파일 참고","주소지 읍면동장 추천필요요","순천시인재육성장학금신청서개인정보 수집·이용 및 제공·조회 동의서주민등록 등본가족관계증명서재학증명서통장사본건강보험료 납부확인서건강보험 자격확인서장학금 수혜 확인서사회적 배려대상 증명서 * 자세한 사항은 첨부파일 참고","http://www.scij.kr/","2023-10-04","2023-10-24"
"883","사단법인 고령군교육발전위원회","학업능력우수장학생","지자체","장학금","지역연고","해당없음","해당없음","학년별 재학생 학업능력이 3/100 이내인 학생","해당없음","1인당 1000000원 ","해당없음","고령군 관내 고등학교에 재학 중인 학생으로서 학생","해당없음","해당없음","해당없음","재학 고등학교 장 추천에 의하여 신청.접수","장학생 추천서학업능력 우수 증빙서류 ","http://www.gredu.or.kr","2023-02-16","2023-02-22"
"884","(사)개벽장학회","꿈드림(복지) 장학생","민간(기타)","장학금","소득구분","해당없음","해당없음","해당없음","가정형편이 어려운 기초생활보장법상 수급자 또는 차상위 계층 학생","1000000원(생활비성 장학)","해당없음","공고일 기준 본인 또는 보호자가 전라북도에 3년 이상 주민등록 주소지를 두고 거주하고 있는 재학생 ","해당없음","해당없음","학교로부터 징계 처분을 받은 학생학생으로서 현저하게 어긋난 행동으로 사회적 물의를 일으킬 경우장학금의 지급결정을 취소할  필요가 있다고 인정될 경우 ","읍·면·동장의 추천 ","장학생 신청서장학생 추천서성적증명서건강보험료납부확인서주민등록 초본복지대상자 가정임을 증명하는 서류가족관계등록부개인정보 수집·이용·조회·제공 등에 대한 동의서 * 자세한 사항은 첨부파일 참고  ","http://www.kaebyok.co.kr/view/index","2023-11-13","2023-11-17"
"885","재단법인 수원시장학재단","사랑장학생","지자체","장학금","기타","해당없음","해당없음","해당없음","해당없음","700000원","다문화 가정의 학생주소지 동장 추천에 의하여 선발","공고일 현재 2년이상 계속하여 수원시에 주민등록을 두고 거주하는 수원시 소재한 고등학교에 재학 중인 학생","1단계 : 자격요건 등 사전검토2단계 : 장학생 심사 및 선발3단계 : 이사회 선발 확정","10명 ","해당없음","동장 추천에 의하여 선발","공문사랑장학금 신청서장학생 선발위원회 협의록주민등록 초본통장사본개인 정보 수집.이용.제공 및 조회 동의서서약서※ 자세한 사항은 기관 홈페이지 참조","https://suwon4u.or.kr/v","2023-09-08","2023-09-14"
"886","재단법인 천안사랑장학재단","재능장학금","지자체","장학금","특기자","해당없음","해당없음","해당없음","해당없음","700000원","예체능대회 입상한 학생으로 전국 단위 및 도 단위 대회 3위 이내 수상자 ※ 2022.8.1. ~ 2023.7.31.까지의 대회 성적","공고일 현재 본인이나 부 또는 모 보호자가 천안시에 1년 이상 계속해서 주민등록을 두고 거주하는 관내 고등학교 재학생"," * 자세한 사항은 첨부파일 참고","총 120명 * 학교별 추천 인원 배정표 참고","1세대 1명 신청 가능","학교장 추천에 의한 신청(개별신청 불가)","학교장 공문장학금 추천·신청서학생 주민등록초본개인(신용)정보 수집·이용·제공 및 조회 동의서통장사본입상 및 수상 관련 증빙 서류※ 자세한 사항은 기관 홈페이지 참조","https://www.cheonan.go.kr ","2023-08-30","2023-09-08"
"887","사단법인울릉군교육발전위원회","듀바스키고등학교유학장학금","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","생활안전 지원금 5000000학자금 지원금 학비 전액 * 자세한 사항은 홈페이지 및 안내문 참고","울릉관내 중학교 졸업생 중 듀바스키 고등학교에 입학한 자","공고일 현재 부모 또는 보호자(부모가 없는 경우)의 주민등록이 울릉군 내에 있어야 함.","해당없음","00명","보호자가 울릉군 관외로 거주지를 이전하였을 때장학생 신청서 내용과 첨부 서류가 허위로 작성 제출하였을 때주민으로부터 지탄을 받을 만한 불미스런 행위를 하였을때장학생이 퇴학하였거나 출석정지 이상의 징계처분을 받았을 때 등","해당없음","장학금 신청서본인 또는 보호자 주민등록초본고등학교 졸업증명서장학신청자 명의의 통장사본성적증명서재학증명서복학증명서(해당자) * 자세한 사항은 홈페이지 및 안내문 참고","www.ulleung.go.kr","2023-09-01","2023-09-20"
"888","한국중부발전보령화력본부","보화장학금(성적우수자예체능특기자)","관계부처","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","800000원 (성적우수자)1000000원 (예체능특기자)","(성적우수자) 직전학기 평균등급 4.0 이내(예체능특기자) 시대회 1위 도대회 2위 이내 전국대회 3위 이내(2022.9.14.~2023.9.13. 기간 내 수상경력)","주포주교오천천북면 및 웅천읍 성동1~3리에 실제 거주하는 주민 및 주민의 자녀 중 주민등록초본 상 2022. 9. 13. 이전 전입자이며 중등고등대학교에 재학 중인 자"," ※ 자세한 사항은 기관 홈페이지 참조","00명","(중고생) 「국가공무원 수당 등에 관한 규정」 또는 「지방공무원 수당 등에 관한 규정」에 의해 자녀의 학비 보조 수당을 받고 있는 공무원의 자녀","※ 자세한 사항은 기관 홈페이지 참조","장학금 신청서장학금 신청을 위한 개인정보 수집·이용·제공 동의서[서식②]서약서[서식③]재학증명서(2학기 휴학생: 23년 1학기 성적증명서) ※ 2023. 9. 13.이후 발급분입금통장 사본(보통예금 입출금식) ※ 예금주가 학생 및 부모인 경우에 한함거주기간 확인용 서류※ 자세한 사항은 기관 홈페이지 참조","www.komipo.co.kr","2023-09-13","2023-09-27"
"889","재단법인 천안사랑장학재단","천안꿈장학금","지자체","장학금","지역연고","해당없음","해당없음","해당없음","기초생활수급자 차상위 기타 생계곤란자 장애학생","700000원","저소득층 가정의 학생이나 장애가 있는 학생으로 학교장의 추천을 받은 학생","공고일 현재 본인이나 부 또는 모 보호자가 천안시에 1년 이상 계속해서 주민등록을 두고 거주하는 관내 고등학교 재학생"," * 자세한 사항은 첨부파일 참고","총 120명 * 학교별 추천 인원 배정표 참고","1세대 1명 신청 가능","학교장 추천에 의한 신청(개별신청 불가)","학교장 공문장학금 추천·신청서학생 주민등록초본개인(신용)정보 수집·이용·제공 및 조회 동의서통장사본기초생활수급자 차상위 장애인 증명서(해당자)기타 해당 장학금 신청 자격 증빙 서류 ※ 자세한 사항은 기관 홈페이지 참조","https://www.cheonan.go.kr ","2023-08-30","2023-09-08"
"890","(재)보성군장학재단","아름드리장학생","지자체","장학금","지역연고","해당없음","해당없음"," * 인문계고신입생 : 중학교 3학년 전체 학기 성적 상위 10%이내재학생 : 아름드리 장학생 기 선정된 학생이거나 직전학기 성적 상위 10%이내 또는 모의고사 3등급 이내 * 특성화고고등학교 직전학기성적 자격증취득률 근태 등 종합 평가","해당없음","1000000원","인문계고 (상반기 선발)특성화고 (하반기 선발) * 자세한 내용은 첨부파일 참고 바랍니다","공고일 현재 본인이 보성군에 주소를 두고 실제 거주하고 있는 자","인문계고(상반기) : 성적 90% 에세이 10%특성화고 (하반기) : 성적 40% 자격증취득 40% 근태 10% 에세이 10% * 자세한 사항은 첨부파일 참조","6명","중복 신청 불가 * 자세한 사항은 첨부파일 참조","해당 학교장 추천","장학금지원 신청서주민등록 등본가족관계증명서직전학기 성적증명서중학교 졸업증명서장학생 추천서신청인서약서개인정보 수집·이용 및 제공·조회 동의서통장사본기타 가점서류에세이(자기소개서) * 자세한 내용은 첨부파일 참고","http://www.boseong.go.kr/","2023-09-18","2023-10-04"
"891","전라남도 영광군청","원전지역장학(기초수급자장애인)","지자체","장학금","지역연고","해당없음","해당없음","2023년 1학기 과목원 점수 총점이 과목평균 총점 이상","국민기초생활수급자 차상위계층자 한부모가족 등록장애인","300000원","초중등 교육법에 의거 설치된 고등학교 재학생","신청일 현재 한빛원전주변지역(백수 홍농 법성)에 본인이나 그 보호자가 주민등록을 두고 1년 이상 거주한 자","해당없음","해당없음","당해 학기에 국가 및 지자체에서 수혜 받은 장학금이 등록금 이상인 학생","해당없음","신청서 및 통장사본개인정보 수집이용 및 제공조회 동의서주민등록등본가족관계증명서실거주확인서재학증명서신청확인서 * 자세한 사항은 첨부파일 참고고","https://yeonggwang.go.kr","2023-08-01","2023-08-30"
"892","(재)고창군장학재단","장학생(성적향상)","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","500000원원","전년도 성적대비 성적 향상된 학생","고창군 관내학교(초·중·고)의 재학생 ※ 공고일 기준 1년 전부터 본인 또는 보호자(부모 중 1명)의 주민등록이 고창에 있을 것","해당없음","10명 ","※ 자세한 사항은 기관 홈페이지 참조","학교장 추천필요요","장학생신청서 1부(붙임 1)개인정보제공동의 및 활용승낙서 1부주소확인 증빙서류 : 주민등록초본(주소이력 포함)부·모 학생의 주민등록이 따로 되어 있을 경우 각각의 주민등록등본과 가족관계증명서(학생기준) 제출통장사본 1부. (부모 우선 또는 학생)재학증명서(공고일로부터 1개월 이내) 1부※ 자세한 사항은 기관 홈페이지 참조","https://www.gochang.go.kr/","2023-10-30","2023-11-15"
"893","아이들과 미래재단","LH주거복지 장학생","민간(기업)","장학금","기타","해당없음","해당없음","해당없음","기준 중위소득 100% 이하의 저소득 가정 고교생","1000000원","거주지 인근의 LH단지 내 사회복지 유관시설에서 사례관리 가능한 아동만 신청가능 ","해당없음","해당없음","91명","분양전환 임대주택 입주민 제외최근 5년 이내 LH 장학금 수혜대상자 제외외","해당없음","지원신청서개인정보 활용동의서재학증명서주민등록등본가족관계증명서법정저소득층 증명서건강보험자격확인서건강보험료 납부 확인서 ※ 자세한 사항은 기관 홈페이지 참조","https://www.kidfuture.or.kr","2023-11-13","2023-11-24"
"894","한국수력원자력(주)","고리원자력본부장학(특별장학생)","관계부처","장학금","지역연고","해당없음","해당없음","해당없음","기초생활수급자 법정 한부모가족 차상위본인부담경감대상자","700000원 * 생활비보조명목","발전소 주변지역 소재학교 재학생 또는 거주학생","발전소 주변지역 거주학생해당지역에 주민등록상뿐만 아니라 실제 만3년 이상 거주자실제 만1년 이상 거주 중이며 현재 포함 과거 거주기간 합산 만15년 이상 * 자세한 사항은 첨부파일 참고 ","신청자격 충족 시 전원 선발","40명","한수원 한국전력 한전kps 특수관계법인 직원 및 가족은 제외","주변지역 소재학교 재학생인 경우 학교장 추천서 필요"," * 공통서류:본인통장 사본신분증 사본각서개인정보이용 동의서기초생활수급자 법정 한부모가족 차상위본인부담경감대상자 중 해당증명원기타해당서류  * 추가 서류는 첨부파일 및 홈페이지 참고","http://www.khnp.co.kr/","2023-07-19","2023-07-27"
"895","(재)농서장학회","종중장학금","민간(기타)","장학금","소득구분","해당없음","해당없음","해당없음","해당없음","1인당 1000000원","본 재단이 인정하는 성주이씨 후손으로서 사상이 건실하고 품행이 방정한 자전국 각 고등학교에 재학하는 학생 중 학업이 우수하거나 경제사정이 어렵거나 본 재단의 설립 취지에 기여할 수 있는 자","해당없음","해당없음","해당없음","해당없음","본 재단에서 각 시·도 종친회별로 추천 의뢰","장학금 지급 신청서추천서각서신상명세서개인정보 수집 및 이용 동의서자기소개서성적증명서주민등록등본 및 제적등본족보 사본기초생활 수급자 증명서(고교생에 한함)","http://nongseofoundation.or.kr","2023-06-11","2023-07-10"
"896","예향교회","장학금","민간(기타)","장학금","기타","해당없음","해당없음","해당없음","해당없음","500000 (특별한 추천이 있을 시 1000000)","교회등록 1년 이상인 자교육부에서 인정한 고등학생","해당없음","해당없음","해당없음","중고등학생 6년간 3회로 수혜 제한 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","목자와 담당부서장 또는 다음세대 추천자의 추천","지원서추천서재학증명서 (신입생의 경우 합격통지서)장학금 수혜 자기평가설문자기소개서성적증명서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://yeahyang.net/","2024-01-07","2024-01-21"
"897","재단법인 영등포구장학재단","영등포장학금","지자체","장학금","지역연고","해당없음","해당없음","해당없음","기준 중위소득 120%이내","1.500.000원","관내 고등학교 재학생","영등포거주기간(6개월이상)","해당없음","최대 27명(학교별 3명 이내 선발)","1가구당 1명 다자녀(3자녀이상) 가구는 2명까지 신청가능중복지원 불가: 국가 지방자치단체 학교 개인 또는 타 장학재단 등으로부터 장학금을 지원받는 학생은 장학금 선발에서 제외 ","학교장의 추천","장학생 신청서/추천서/개인정보 수집이용제공 및 조회동의서건강보험료 납입증명서(2023년도분)건강보험 자격확인(통보)서학생 주민등록초본(영등포구 거주 기간 전체 나오도록)학생 주민등록등본통장 사본직전 학기 성적증명서(석차백분율)","http://www.ydpsf.or.kr","2023-08-21","2023-08-30"
"898","사천시인재육성장학재단","성적향상장학생","지자체","장학금","지역연고","해당없음","해당없음","성적 10%이상 향상자","해당없음","200000원 ~ 500000원","해당 연도 관내 고등학교 학생","해당없음","해당없음","00명 * 예산범위 내","해당없음","재학중인 고등학교 장","장학생 추천서장학생 서약서성적확인서 및 성적향상 확인서  ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.sacheon.go.kr","2024-01-22","2024-01-26"
"899","(재)보성군장학재단","희망나래장학생","지자체","장학금","특기자","해당없음","해당없음","해당없음","중위소득 180% 이하 가구","500000원(학업장려금으로 이중수혜 가능)","직전년도 중에 음악 미술 무용 기능올림픽 체육 문학 등 예체능과 관련하여 국제대회 광역자치단체 이상의 단체나 기관에서 주관한 전국대회 또는 도 단위 대회에서 3위 이내의 성적을 거둔 학생으로 보성을 빛낸 인재","본인 및 부모(친권자)가 공고일 현재 보성군에 1년 이상 주소를 두고 실제 거주하고 있는 세대의 손자녀로 중고등학생은 보성군에 주소를 두고 있어야 함","대회 규모 순위 수상 횟수 순국가 유공자 자녀 장애인 및 그 자녀 1점 가점","중고등학생 6명(* 인원은 탄력적 운영)","개인별 중복지원 불가","해당 학교장 추천","장학금지원 신청서주민등록 등본가족관계증명서직전학기 성적증명서장학생 추천서건강보험료 납부확인서 및 건강보험 자격확인서(최근 3개월)신청인 서약서개인정보수집이용 및 제공조회 동의서 통장사본 기타 가점서류수상실적 증명서(상장)","http://www.boseong.go.kr/","2023-03-31","2023-04-14"
"900","시흥시인재양성재단","희망장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","기초수급자 차상위 한부모","1000000원","가정형편이 어렵지만 면학의지가 있는 학생시흥시 관내 고등학교 재학","공고일 기준 학생 또는 법정보호자의 주민등록이 시흥시에 1년이상 연속적으로 거주","해당없음","40명 (중고)","1가정 1선발","해당없음","온라인신청서거주지증빙서류소득증빙서류성적관련증빙서류재학증명서해당자 선택 서류","https://www.shinjae.or.kr/","2023-03-20","2023-04-17"
"901","재단법인 구미시장학재단","다자녀장학금","지자체","장학금","지역연고","해당없음","해당없음","직전학년 성적이 100분의 30이내","해당없음","500000원","관내고등학교 재학생 중 다자녀(3명이상) 가정 자녀","공고일 현재 본인 또는 구미시에 1년 이상 주소를 두고 있는 시민의 자녀 중 관내 고등학생","해당없음","21명","1인당 1종류의 장학금 신청만 가능","학교장추천","해당없음","http://www.gumi/go.kr","2023-04-03","2023-04-14"
"902","재단법인 금산교육사랑장학재단","재능장학금","지자체","장학금","특기자","해당없음","해당없음","해당없음","해당없음","1000000원","당해연도(2023년도)에 예체능 또는 기능 분야에서 해당 학교장이 정하는 기준 이상의 성적을 거둬 소속 학교장의 추천을 받은 학생관내 고등학교에 재학 중인 학생","공고일 기준 1년 전부터 현재까지 보호자의 주민등록이 금산군으로 되어있는 자","관내 고등학교 선발인원 배정 후 학교장 추천에 의한 선발","12명","해당없음","소속 학교장 추천","장학금 지원신청서서약서개인정보동의서소속 학교 재학증명서보호자의 주민등록등본 (주소지 다를경우 가족관계 증명서 제출)학생통장 사본학교장 추천서대회 상장 사본장학생 추천 공문* 자세한 내용은 첨부파일 참고","http://geumsan-edu.or.kr/","2023-03-20","2023-03-24"
"903","재단법인청도군인재육성장학회","저소득장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","국민기초생활수급자 법정차상위 계층 한부모 가족","1000000원","공고일 현재 청도군에 주소를 두고 관내 학교에 재학 중이거나 졸업한 학생 중 공고일 현재 대학교에 입학 예정 및 재학중인 학생","공고일 현재 보호자가 청도군에 1년 이상 주소를 두고 실거주하고 있는 자의 자녀 ","해당없음","46명 ","해당없음","학교장의 추천을 받은 자 ","장학금지원신청서재학증명서장학금 비수혜확인서주민등록등본 주민등록초본 각 1 부가족관계증명서저소득장학생추천서저소득증빙서류","https://www.cheongdo.go.kr","2023-03-17","2023-04-06"
"904","재단법인구지면장학회","장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","500000원","학업성적이 우수하거나 예체능의 특기가 있으며 경제적이유로 수학이 곤란한 자","달성군 구지면에 주소를 3년 이상 계속 두고 거주하고 있는 (주민등록만 되어 있고 실제 거주하지 않는 경우를 제외) ","해당없음","4명(중고)","해당없음","학교장 추천","장학생 선발신청서학교장 추천서면장 및 이장추천서주민등록등본 및 초본성적증명서교육비 납입증명서세목별과세증명서건강보험료 납부영수증개인정보 수집이용제공 및 조회 동의서관내 초·중·고등학교 졸업생일 경우 졸업장 또는 졸업증명서기타 필요한 서류","https://www.dalseong.daegu.kr/guji/index.do","2023-02-03","2023-03-10"
"905","청송양수발전소장학회","성적우수장학생","민간(기타)","장학금","지역연고","해당없음","해당없음","직전학기 성적 가중치 평균 3.0 이상인 자","해당없음","500000원"," * 사회적배려 외 일반","공고일 기준 대상지역 실거주기간이 연속 2년 이상인 주민의 자녀 * 대상지역 : 청송읍 파천면 안덕면 길안면(발전기 및 댐으로부터 반지름 5km 이내의 읍·면 지역)","사회적배려 선발 후 성적순 선발","40명 * 사회적배려장학생 포함 인원 읍·면별로 인구비례 배분 선발","대상지역 내 재학 중일지라도 대상지역 외 부모 거주 시 선정 불가 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","장학생 선발 신청서주민등록등본재학증명서직전학기 성적증명서개인정보 수집·이용·조회·제공 동의서신청자 또는 학생명의 통장사본 * 자세한 사항은 첨부파일 참고","https:/www.cs.go.kr","2023-09-01","2023-09-20"
"906","금왕장학회","성적장학생","민간(기타)","장학금","지역연고","해당없음","해당없음","신입생 : 중학교 내신석차 연명부 점수 280점 이상인 자재학생 : 직전학년 과목별 석차등급 평균 3등급 이내 인자","해당없음","1000000원","해당없음","대금고 학생 3명과 관내 고교인 반도체고 음성고 매괴고 각 1명씩으로 함","해당없음","7명  * 고등학생의 경우 대금고 학생 3명  * 음성군 관내 고교인 반도체고  음성고 매괴고 각 1명씩으로 함","해당없음","학교장 추천","고등학교 신입생 : 내신석차연명부 사본고등학교 재학생 : 생활기록부 사본","http://gw.es21.go.kr/","2023-02-06","2023-02-24"
"907","(재)고창군장학재단","장학생(특기)","지자체","장학금","특기자","해당없음","해당없음","해당없음","해당없음"," * 개인/단체전국대회 1~3위 이상 : 700000원 ~ 1500000원도 대회 1~3위 이상 : 500000원 ~ 1000000원군 대회 1위 : 500000원 * 기술·기능분야 자격증 취득기사급 이상 : 500000원산업기사·기능사금 : 200000원"," * 예술/체육분야국가·지방자치단체 공공기관 분야별협회가 주최·주관하는 군 대회 이상의 경기·경연에서 수상한 학생 및 단체수상내역 중 가장 최고위의 입상부문 1개씩만 신청 가능 * 기능분야당해연도에 국가기술자격법 시행규칙 제3조의 기술·기능 분야 자격증 취득 학생","본인 또는 보호자의 등록기준지가 고창군으로 되어 있는 학생","자격증 또는 수상실적 * 자세한 사항은 첨부파일 참고","00명명","다수 입상에 따른 신청 및 등급별 중복신청 불가기능분야 : 식품가공분야 및 농림 어업분야 제외단체는 단체명으로 지급하며 개별분할 지급하지 않음단체자격으로 수상 시 개인신청 불가 * 자세한 사항은 첨부파일 참고","해당없음","장학생 신청서개인정보제공동의 및 활용승낙서주소확인 증빙서류통장사본재학증명서예·체분야 입상관련 자료 사본기능분야 자격증 자료 사본본 * 자세한 사항은 첨부파일 참조","https://www.gochang.go.kr/","2023-10-30","2023-11-15"
"908","시흥시인재양성재단","예체능장학생","지자체","장학금","특기자","해당없음","해당없음","해당없음","해당없음","1000000원","예술 체육 기능 등","공고일 기준 본인 또는 부모/법정보호자의 주민등록이 시흥시에 1년 이상 되어있는(초본전입일) 시흥시민 (가족관계증명서 등재)","서류적격심사(동점자 기준: 대회 순위 우선>거주일수) 등등 * 자세한 사항은 홈페이지 참고","48명","대안학교 학생 * 자세한 사항은 홈페이지 참조","해당없음","신청서장학금사용계획서주민등록초본실적증빙서재학증명서출석증빙 : 21년도 생활기록부가점서류 * 자세한 사항은 첨부파일 참고","https://www.shinjeae.or.kr","2023-10-05","2023-10-24"
"909","진주시청","복지장학생","지자체","장학금","소득구분","해당없음","해당없음","직전학기 평균 석차등급 6등급 이내","법정저소득층 (기초생활보장가구 차상위가구 한부모가족)","1000000원","공고일 기준 고등학교 재학중인 자","공고일 기준 학생 또는 보호자가 진주시에 1년 이상 주소를 두고 계속하여 거주 중인 자","대상자의 학업성적 가구유형 자녀수 대회성적 거주기간 등을 종합적으로 고려","20명","해당없음","학교장 추천","장학생 선발 신청서학교장 또는 읍면동장 추천서재학증명서주민등록초본개인정보 수집 및 이용 동의서성적증명서법정 저소득 자격을 확인할 수 있는 증명서 * 자세한 내용은 첨부파일 참고","https://www.jinju.go.kr/","2023-03-06","2023-03-20"
"910","재단법인 광주북구 장학회","동행장학생","지자체","장학금","기타","해당없음","해당없음","해당없음","해당없음","500000원","고등학생 * 자세한 사항은 홈페이지를 참조 바람","본인 또는 자녀가 광주 북구 1년 이상 거주","해당없음","11명","2022년도 북구장학생으로 선발되어 장학금을 받은 학생2023년 광주 북구 통장자녀장학금 농업인자녀학자금을 지원받은 학생2022년 다자녀 선발 가정은 다자녀 유형으로 신청 불가 * 자세한 사항 첨부파일 참조","학교장의 추천 필요 "," [ 공통서류 ]장학생 신청서개인정보 수집이용제공 및 조회 동의서주민등록 등본재학증명서본인명의 통장사본 * 자세한 사항 첨부파일 참조","http://bukgu.gwangju.kr ","2023-10-16","2023-10-31"
"911","용산구청","꿈나무(일반장학생)","지자체","장학금","지역연고","해당없음","1학년/2학년/3학년/제한없음","해당없음","생활곤란자의 자녀(다문화 장애인 조손가정 및 효성심이 높은 학생) 우선 선정","700000원","동장이 인정하는 생활이 곤란한 자의 자녀(특히 코로나 19로 생계에 어려움을 겪고 있는 가정)","공고일 현재 용산구 관내 주민등록자","생활곤란자의 자녀(다문화 장애인 조손가정 및 효성심이 높은 학생 우선 선정)","35명","당해 연도 국가 또는 타 단체에서 장학금 수혜를 받았거나 받을 예정인 자","동장 추천으로 동주민센터로 접수","신청서자기소개서추천서입증서류 * 자세한 사항은 첨부파일 참고","http://www.yongsan.go.kr","2023-04-03","2023-04-14"
"912","재단법인 대구광역시인재육성장학재단","특기생 장학금","지자체","장학금","기타","해당없음","해당없음","해당없음","해당없음","1000000원 ","특정분야(과학예술체육문화(외국어 포함) 등 재능이 뛰어난 인재로 알려진 고등학생","해당없음","해당없음","72명 (6교 각12명)","장학금 수령자가 학업을 중단할 때 (자퇴)사회 통념상 품행이 극히 불량하다고 인정될 때부정한 방법으로 선발되었다고 인정될 때재단의 명예를 크게 손상케 하고 사회적 물의를 야기했을 때 ","학교장 추천 필요 ","학교장 추천서사유서통장사본개인정보 수집/동의서","http://www.dge.go.kr ","2023-09-18","2023-10-17"
"913","재단법인 동구교육발전장학회","장기후원장학금","지자체","장학금","기타","해당없음","해당없음","직전학기 이수 전과목이 평균 2등급 이내기존 장기후원 선발 장학생은 고교 3학년까지 선발연도의 기준 충족시 지급급 ","해당없음","해당없음","중학교 3학년 2학기 전과목 평균 1등급인 자로 성적순 선발","대구시내 고등학교에 재학 중인 1학년 학생성적평가 시 이수 또는 우수 등으로 평가된 과목 제외 ","매년 학교 성적 확인 후 장기후원 여부 심사위원회에서 결정기존 장기후원 선발 장학생은 고교 3학년까지 선발연도의 기준 충족시 지급급","해당없음","장학생 신청은 1세대 1명으로 제한","소속 학교장 ","해당없음","http://www.donggujhh.or.kr","2022-03-10","2022-03-31"
